Date,Plot-250,Plot-300,Plot-350,Plot-400,Plot-450,Plot-500,Plot-550,Plot-600 ,Plot-650,Plot-700,Plot-750,Plot-800 ,Plot-850 ,Plot-900 ,Plot-950 ,Plot-1000 
2007-05-23,,24.024,,,,,,22.165,21.946,21.984,,,,,,
2007-05-24,,22.919,,,,,,21.476,21.24,21.186,,,,,,
2007-05-25,,23.344,,,,,,21.898,21.454,21.747,,,,,,
2007-05-26,,24.565,,,,,,23.27,22.508,23.593,,,,,,
2007-05-27,,24.519,,,,,,23.044,22.575,23.344,,,,,,
2007-05-28,,23.983,,,,,,22.465,22.288,22.488,,,,,,
2007-05-29,,24.649,,,,,,22.946,22.511,23.482,,,,,,
2007-05-30,,24.733,,,,,,22.903,22.48,22.562,,,,,,
2007-05-31,,23.435,,,,,,21.897,21.562,21.902,,,,,,
2007-06-01,,24.13,,,,,,22.644,22.164,23.35,,,,,,
2007-06-02,,23.482,,,,,,22.181,21.681,22.224,,,,,,
2007-06-03,,24.355,,,,,,22.772,22.391,22.92,,,,,,
2007-06-04,,24.591,,,,,,23.093,22.743,23.296,,,,,,
2007-06-05,,24.914,,,,,,23.537,23.089,23.944,,,,,,
2007-06-06,,24.513,,,,,,22.979,22.34,22.849,,,,,,
2007-06-07,,23.227,,,,,,22.006,21.591,22.259,,,,,,
2007-06-08,,22.103,,,,,,20.981,20.702,20.548,,,,,,
2007-06-09,,22.368,,,,,,21.26,20.862,21.096,,,,,,
2007-06-10,,23.588,,,,,,22.062,21.711,22.235,,,,,,
2007-06-11,,24.037,,,,,,22.306,21.985,22.184,,,,,,
2007-06-12,,23.951,,,,,,22.327,22.029,22.684,,,,,,
2007-06-13,,23.83,,,,,,22.306,21.885,22.595,,,,,,
2007-06-14,,24.671,,,,,,23.28,22.772,23.65,,,,,,
2007-06-15,,24.948,,,,,,23.597,23.126,24.043,,,,,,
2007-06-16,,25.231,,,,,,23.751,23.149,23.93,,,,,,
2007-06-17,,24,,,,,,22.434,21.971,22.179,,,,,,
2007-06-18,,24.128,,,,,,22.683,22.025,22.775,,,,,,
2007-06-19,,24.47,,,,,,22.928,22.305,23.049,,,,,,
2007-06-20,,23.968,,,,,,22.583,22.099,22.57,,,,,,
2007-06-21,,25.043,,,,,,23.605,23.052,23.783,,,,,,
2007-06-22,,25.289,,,,,,23.634,23.227,23.865,,,,,,
2007-06-23,,24.894,,,,,,23.218,22.82,23.562,,,,,,
2007-06-24,,24.279,,,,,,22.563,22.323,22.673,,,,,,
2007-06-25,,24.44,,,,,,22.857,22.5,22.918,,,,,,
2007-06-26,,24.002,,,,,,22.709,22.18,22.862,,,,,,
2007-06-27,,23.612,,,,,,22.166,21.769,22.047,,,,,,
2007-06-28,,23.308,,,,,,22.033,21.506,22.018,,,,,,
2007-06-29,,24.092,,,,,,22.648,22.046,22.674,,,,,,
2007-06-30,,24.835,,,,,,23.186,22.828,23.167,,,,,,
2007-07-01,,24.921,,,,,,23.276,22.859,23.15,,,,,,
2007-07-02,,25.168,,25.884,,,,23.602,22.982,23.858,,,,,,
2007-07-03,,24.466,,24.142,,,,22.873,22.479,23.468,,,,,,
2007-07-04,,24.688,,24.421,,,,22.94,22.352,22.872,,,,,,
2007-07-05,,24.988,,24.648,,,,22.852,22.487,22.568,,,,,,
2007-07-06,,24.095,,24.015,,,,22.729,22.147,22.926,,,,,,
2007-07-07,,24.012,,23.606,,,,22.165,21.909,22.223,,,,,,
2007-07-08,,23.839,,23.498,,,,22.301,21.893,21.935,,,,,,
2007-07-09,,25.397,,25.346,,,,23.703,23.127,22.867,,,,,,
2007-07-10,,25.097,,24.805,,,,23.433,22.835,22.455,,,,,,
2007-07-11,,23.836,,23.483,,,,22.383,21.92,21.657,,,,,,
2007-07-12,,24.508,,24.287,,,,23.034,22.588,22.285,,,,,,
2007-07-13,,25.399,,25.172,,,27.532,23.784,23.239,22.88,,,,,,
2007-07-14,,24.371,,24.101,,,28.095,22.902,22.399,21.961,,21.487,21.441,20.647,20.361,20.131
2007-07-15,,23.763,,23.414,,,29.072,22.523,21.961,21.723,,21.405,21.218,20.604,20.477,20.482
2007-07-16,,23.738,,23.422,,,24.278,22.358,22.007,21.876,,21.481,21.267,20.841,20.778,20.69
2007-07-17,,23.698,,23.373,,,25.334,22.43,22.086,21.848,,21.438,21.287,20.837,20.73,20.615
2007-07-18,,24.05,,23.887,,,25.718,22.982,22.335,22.057,,21.686,21.56,20.874,20.651,20.596
2007-07-19,,23.334,,23.098,,,24.658,21.952,21.673,21.394,,20.989,20.85,20.309,20.178,20.079
2007-07-20,,23.647,,23.394,,,26.815,22.265,21.805,21.594,,21.216,20.867,20.413,20.139,20.004
2007-07-21,,24.337,,24.229,,,28.415,23.263,22.901,22.569,,22.002,22.07,21.349,21.13,21.047
2007-07-22,,24.071,,23.863,,,26.76,22.773,22.33,22.019,,21.521,21.366,20.937,20.762,20.678
2007-07-23,,24.548,,24.429,,,29.578,23.405,22.682,22.45,,22.08,22.041,21.374,21.112,20.992
2007-07-24,,24.868,,24.671,,,25.49,23.406,22.811,22.391,,21.873,21.83,21.045,20.798,20.826
2007-07-25,26.33,24.9,,24.645,,,26.399,23.447,22.891,22.463,,21.861,21.794,21.076,20.854,20.865
2007-07-26,26.345,24.729,,24.588,,,26.411,23.21,22.747,22.444,,21.894,21.877,21.037,20.898,20.871
2007-07-27,25.921,25.113,,24.846,,,25.901,23.619,23.041,22.646,,21.986,21.919,21.054,20.879,20.763
2007-07-28,26.2,24.262,,24.114,,,26.285,23.049,22.667,22.24,,21.833,21.824,20.94,20.746,20.528
2007-07-29,25.341,24.553,,24.492,,,25.414,23.487,22.858,22.407,,21.868,21.985,20.951,20.653,20.347
2007-07-30,23.684,23.407,,23.182,,,25.289,22.287,21.928,21.661,,21.239,21.261,20.603,20.421,20.48
2007-07-31,24.266,23.944,,23.69,,22.493,24.411,22.91,22.376,22.137,,21.722,21.762,20.998,20.787,20.923
2007-08-01,25.345,24.786,24.593,24.75,,23.668,23.68,23.2,22.718,22.367,,21.805,21.776,21.017,20.639,20.715
2007-08-02,25.672,25.084,24.838,24.89,,23.807,23.582,23.198,22.706,22.334,,21.732,21.582,21.056,20.813,20.734
2007-08-03,25.727,25.338,25.03,25.103,,24.003,23.694,23.398,22.837,22.45,,21.756,21.617,20.996,20.698,20.567
2007-08-04,25.395,24.797,24.578,24.498,,23.493,23.301,23.037,22.55,22.183,,21.629,21.454,20.925,20.67,20.559
2007-08-05,24.34,23.849,23.716,23.576,,22.857,22.782,22.825,22.333,21.994,,21.631,21.517,20.847,20.632,20.552
2007-08-06,23.95,23.575,23.35,23.294,,22.564,22.465,22.467,21.905,21.626,,21.288,21.114,20.48,20.278,20.254
2007-08-07,23.069,22.805,22.666,22.518,,21.923,21.804,21.685,21.342,21.12,,20.774,20.667,20.162,20.123,20.131
