uin,incident_year,state,site_category,shark_common_name,shark_scientific_name,provoked_unprovoked,victim_activity
1075,2018,WA,coastal,wobbegong,Orectolobidae,unprovoked,boarding
1076,2018,QLD,island open ocean,grey reef shark,Carcharhinus amblyrhynchos,provoked,snorkelling
1077,2018,WA,coastal,whaler shark,Carcharhinidae,provoked,spearfishing
1078,2018,NSW,coastal,whaler shark,Carcharhinidae,unprovoked,other: standing in water
1079,2018,WA,coastal,wobbegong,Orectolobidae,unprovoked,swimming
1080,2018,WA,coastal,wobbegong,Orectolobidae,provoked,snorkelling
1081,2018,NSW,coastal,white shark,Carcharodon carcharias ,unprovoked,swimming
1082,2018,WA,coastal,tiger shark,Galeocerdo cuvier ,provoked,snorkelling
1083,2018,VIC,coastal,bronze whaler shark,Carcharhinus brachyurus,unprovoked,boarding
1084,2018,WA,coastal,white shark,Carcharodon carcharias ,unprovoked,boarding
1085,2018,WA,coastal,white shark,Carcharodon carcharias ,unprovoked,boarding
1086,2018,WA,coastal,white shark,Carcharodon carcharias ,unprovoked,boarding
1087,2018,WA,coastal,white shark,Carcharodon carcharias ,unprovoked,boarding
1088,2018,NSW,coastal,wobbegong,Orectolobidae,unprovoked,boarding
1089,2018,NSW,coastal,white shark,Carcharodon carcharias ,unprovoked,boarding
1090,2018,QLD,coastal,tiger shark,Galeocerdo cuvier ,unprovoked,swimming
1091,2018,QLD,coastal,tiger shark,Galeocerdo cuvier ,unprovoked,swimming
1092,2018,NT,island open ocean,bull shark,Carcharhinus leucas,unprovoked,NA
1093,2018,NSW,coastal,wobbegong,Orectolobidae,provoked,swimming
1094,2018,QLD,coastal,NA,NA,unprovoked,boarding
1095,2018,NSW,coastal,wobbegong,Orectolobidae,unprovoked,boarding
1096,2018,NSW,coastal,white shark,Carcharodon carcharias ,unprovoked,boarding
1097,2018,QLD,coastal,tiger shark,Galeocerdo cuvier ,unprovoked,NA
1098,2018,NSW,coastal,wobbegong,Orectolobidae,unprovoked,boarding
1099,2018,NT,coastal,whaler shark,Carcharhinidae,provoked,spearfishing
1100,2018,WA,coastal,grey nurse shark,Carcharius taurus,unprovoked,boarding
1101,2018,NSW,estuary/harbour,NA,NA,unprovoked,NA
1102,2018,NSW,coastal,wobbegong,Orectolobidae,provoked,swimming
1103,2019,WA,coastal,wobbegong,Orectolobidae,unprovoked,swimming
1104,2019,WA,coastal,white shark,Carcharodon carcharias ,provoked,spearfishing
1105,2019,NSW,estuary/harbour,NA,NA,unprovoked,boarding
