year,park,month,visits
2023,jtnp,jun,212700
2023,jtnp,jul,144420
2023,jtnp,aug,156172
2023,jtnp,sep,189383
2023,jtnp,oct,233697
2023,jtnp,nov,313688
2023,jtnp,dec,341994
2022,jtnp,jan,277128
2022,jtnp,feb,302834
2022,jtnp,mar,431849
2022,jtnp,apr,358701
2022,jtnp,may,228627
2022,jtnp,jun,159177
2022,jtnp,jul,149070
2022,jtnp,aug,135137
2022,jtnp,sep,150533
2022,jtnp,oct,222629
2022,jtnp,nov,316911
2022,jtnp,dec,325698
2021,jtnp,jan,229995
2021,jtnp,feb,285687
2021,jtnp,mar,375049
2021,jtnp,apr,383735
2021,jtnp,may,285611
2021,jtnp,jun,181050
2021,jtnp,jul,125568
2021,jtnp,aug,123163
2021,jtnp,sep,163241
2021,jtnp,oct,213088
2021,jtnp,nov,334802
2021,jtnp,dec,363411
2020,jtnp,jan,268187
2020,jtnp,feb,298294
2020,jtnp,mar,226600
2020,jtnp,apr,0
2020,jtnp,may,89831
2020,jtnp,jun,184139
2020,jtnp,jul,147037
2020,jtnp,aug,134518
2020,jtnp,sep,168181
2020,jtnp,oct,253877
2020,jtnp,nov,360238
2020,jtnp,dec,268640
2019,jtnp,jan,195993
2019,jtnp,feb,261230
2019,jtnp,mar,469183
2019,jtnp,apr,374789
2019,jtnp,may,250928
2019,jtnp,jun,187551
2019,jtnp,jul,138967
2019,jtnp,aug,120911
2019,jtnp,sep,160294
2019,jtnp,oct,233995
2019,jtnp,nov,291230
2019,jtnp,dec,303476
2018,jtnp,jan,297435
2018,jtnp,feb,288392
2018,jtnp,mar,404708
2018,jtnp,apr,325715
2018,jtnp,may,247786
2018,jtnp,jun,153556
2018,jtnp,jul,130427
2018,jtnp,aug,142015
2018,jtnp,sep,149124
2018,jtnp,oct,221232
2018,jtnp,nov,299880
2018,jtnp,dec,282112
2017,jtnp,jan,240124
2017,jtnp,feb,260139
2017,jtnp,mar,404545
2017,jtnp,apr,361992
2017,jtnp,may,221752
2017,jtnp,jun,125896
2017,jtnp,jul,124571
2017,jtnp,aug,142340
2017,jtnp,sep,157084
2017,jtnp,oct,223008
2017,jtnp,nov,307770
2017,jtnp,dec,284398
2016,jtnp,jan,193843
2016,jtnp,feb,236807
2016,jtnp,mar,327072
2016,jtnp,apr,242959
2016,jtnp,may,220378
2016,jtnp,jun,110505
2016,jtnp,jul,149299
2016,jtnp,aug,148427
2016,jtnp,sep,156795
2016,jtnp,oct,220065
2016,jtnp,nov,248731
2016,jtnp,dec,250405
2015,jtnp,jan,169097
2015,jtnp,feb,200450
2015,jtnp,mar,256873
2015,jtnp,apr,216432
2015,jtnp,may,177545
2015,jtnp,jun,110176
2015,jtnp,jul,102545
2015,jtnp,aug,107537
2015,jtnp,sep,123171
2015,jtnp,oct,163512
2015,jtnp,nov,200168
2015,jtnp,dec,198250
2014,jtnp,jan,101069
2014,jtnp,feb,152467
2014,jtnp,mar,195810
2014,jtnp,apr,187219
2014,jtnp,may,125920
2014,jtnp,jun,76297
2014,jtnp,jul,78413
2014,jtnp,aug,94933
2014,jtnp,sep,89968
2014,jtnp,oct,131935
2014,jtnp,nov,175727
2014,jtnp,dec,180146
2013,jtnp,jan,114833
2013,jtnp,feb,130396
2013,jtnp,mar,197074
2013,jtnp,apr,196575
2013,jtnp,may,127406
2013,jtnp,jun,77567
2013,jtnp,jul,74274
2013,jtnp,aug,89444
2013,jtnp,sep,71667
2013,jtnp,oct,54688
2013,jtnp,nov,120911
2013,jtnp,dec,128505
2012,jtnp,jan,109800
2012,jtnp,feb,128888
2012,jtnp,mar,178259
2012,jtnp,apr,186175
2012,jtnp,may,117183
